order_id,latitude,longitude,locality,platform,order_value,cuisine,timestamp,delivery_time,restaurant_rating
ORD00001,23.200004959055626,77.46145121747752,Shahpura,Zomato,102.48,North Indian,2026-01-22 14:25:47.404544,48,4.6
ORD00002,23.229402492156225,77.4203926584575,MP Nagar,Zomato,182.38,South Indian,2026-01-15 23:25:47.404544,34,3.6
ORD00003,23.280191648255315,77.44428906306804,Indrapuri,Zomato,128.47,North Indian,2026-02-02 16:25:47.404544,31,3.5
ORD00004,23.18978738071768,77.38598624307416,Danish Kunj,Swiggy,446.22,North Indian,2026-01-29 13:25:47.404544,53,4.6
ORD00005,23.223154734164087,77.42082758478621,MP Nagar,Zomato,75.98,Biryani,2026-01-07 18:25:47.404544,26,4.0
ORD00006,23.197174889886952,77.47834250735883,Piplani,Zomato,518.18,Chinese,2026-01-17 16:25:47.404544,42,4.2
ORD00007,23.261871331832243,77.34225281684478,Bairagarh,Swiggy,100.35,Pizza,2026-01-16 15:25:47.404544,41,4.4
ORD00008,23.183793410310727,77.42448752207368,Bawadiya Kalan,Swiggy,254.6,Chinese,2026-01-29 14:25:47.404544,40,4.0
ORD00009,23.24650004316406,77.40271213174861,Chunabhatti,Zomato,264.53,Fast Food,2026-01-26 03:25:47.404544,38,4.1
ORD00010,23.22153904196316,77.47571089287987,Ayodhya Nagar,Swiggy,198.66,Fast Food,2026-01-16 16:25:47.404544,28,4.7
ORD00011,23.24452315235793,77.4199538382538,MP Nagar,Swiggy,442.37,Chinese,2026-01-08 04:25:47.404544,45,4.6
ORD00012,23.181787387020726,77.42987489706839,Bawadiya Kalan,Swiggy,254.96,Fast Food,2026-01-31 18:25:47.404544,49,4.6
ORD00013,23.20224090765314,77.470323302933,Ashoka Garden,Swiggy,109.61,North Indian,2026-01-12 19:25:47.404544,48,4.4
ORD00014,23.20236116675902,77.4587515935639,Shahpura,Swiggy,40.88,Beverages,2026-01-20 15:25:47.404544,52,3.6
ORD00015,23.21406111228175,77.43281237873867,Arera Colony,Zomato,989.3,Chinese,2026-01-05 20:25:47.404544,41,4.4
ORD00016,23.21875422701373,77.47014164244703,Shahpura,Swiggy,560.86,South Indian,2026-01-15 02:25:47.404544,40,3.6
ORD00017,23.24869469255147,77.33944850379844,Bairagarh,Swiggy,278.89,Chinese,2026-01-10 15:25:47.404544,49,3.8
ORD00018,23.214312500985095,77.45737831308729,Gulmohar Colony,Swiggy,402.63,North Indian,2026-01-20 02:25:47.404544,40,4.8
ORD00019,23.214424436856635,77.46704498378992,Gulmohar Colony,Swiggy,371.14,North Indian,2026-01-12 18:25:47.404544,30,4.4
ORD00020,23.27083656637584,77.34343515256629,Bairagarh,Zomato,156.77,Fast Food,2026-01-28 06:25:47.404544,40,4.8
ORD00021,23.232661144442794,77.42103341354986,MP Nagar,Swiggy,365.94,North Indian,2026-01-20 01:25:47.404544,43,4.3
ORD00022,23.240224284679698,77.42662712725722,MP Nagar,Swiggy,280.35,South Indian,2026-01-23 03:25:47.404544,52,4.4
ORD00023,23.15886243204261,77.42633350413178,Raisen Road,Swiggy,175.44,Beverages,2026-01-07 08:25:47.404544,25,3.6
ORD00024,23.22152272654358,77.42552501299294,Arera Colony,Swiggy,129.1,Fast Food,2026-01-06 15:25:47.404544,32,3.6
ORD00025,23.223518240217402,77.43521682262516,MP Nagar,Zomato,372.43,Chinese,2026-01-30 17:25:47.404544,42,4.6
ORD00026,23.209831394751088,77.48972038149046,Piplani,Zomato,1842.61,North Indian,2026-01-16 16:25:47.404544,43,3.9
ORD00027,23.210220182384873,77.45205256865736,Shahpura,Zomato,159.18,Chinese,2026-01-25 18:25:47.404544,35,3.7
ORD00028,23.231465149214436,77.47317757032592,Ayodhya Nagar,Swiggy,338.37,Chinese,2026-01-08 19:25:47.404544,27,4.3
ORD00029,23.224521146226078,77.40133659213494,TT Nagar,Zomato,669.29,North Indian,2026-02-02 10:25:47.404544,54,4.6
ORD00030,23.22092846720792,77.38819762874355,TT Nagar,Zomato,181.58,North Indian,2026-01-04 19:25:47.404544,37,3.9
ORD00031,23.191918370123684,77.41541080789183,Danish Kunj,Zomato,69.76,Chinese,2026-01-26 01:25:47.404544,52,3.6
ORD00032,23.261731763457842,77.41615055542516,New Market,Swiggy,437.15,Chinese,2026-01-15 07:25:47.404544,54,4.1
ORD00033,23.221244541214872,77.46948611045721,Shahpura,Zomato,223.53,Fast Food,2026-01-05 17:25:47.404544,40,3.6
ORD00034,23.254947482254334,77.41945841667992,Jahangirabad,Swiggy,156.48,North Indian,2026-01-31 02:25:47.404544,53,4.2
ORD00035,23.19241461712083,77.40133201689149,Danish Kunj,Zomato,132.18,Fast Food,2026-01-13 16:25:47.404544,47,3.6
ORD00036,23.234260941587902,77.43388508194444,Koh-e-Fiza,Zomato,377.71,North Indian,2026-01-08 00:25:47.404544,49,4.5
ORD00037,23.22001389608372,77.42471897633659,Arera Colony,Zomato,616.02,Desserts,2026-01-07 05:25:47.404544,29,3.8
ORD00038,23.234167428889315,77.38199907902748,Chunabhatti,Zomato,353.34,Chinese,2026-02-03 03:25:47.404544,51,3.6
ORD00039,23.26303633511786,77.41160379801924,New Market,Swiggy,39.24,Fast Food,2026-01-23 21:25:47.404544,28,4.7
ORD00040,23.17532581190568,77.43340933260703,Bawadiya Kalan,Swiggy,300.73,North Indian,2026-01-18 15:25:47.404544,31,4.1
ORD00041,23.239789615729038,77.42223037456549,MP Nagar,Zomato,585.84,Continental,2026-01-05 13:25:47.404544,28,4.0
ORD00042,23.220580946155398,77.37908322749085,TT Nagar,Swiggy,178.97,South Indian,2026-01-10 19:25:47.404544,37,4.0
ORD00043,23.222415555740515,77.47174671563444,Gulmohar Colony,Swiggy,151.78,North Indian,2026-01-13 01:25:47.404544,25,3.8
ORD00044,23.177540306936066,77.40399273985447,Danish Kunj,Swiggy,210.37,North Indian,2026-01-08 17:25:47.404544,41,4.4
ORD00045,23.198503292387308,77.46342870232195,Hoshangabad Road,Swiggy,107.61,North Indian,2026-01-20 01:25:47.404544,28,4.1
ORD00046,23.207021213331284,77.45282693870757,Shahpura,Zomato,250.24,Chinese,2026-01-12 17:25:47.404544,45,4.6
ORD00047,23.244835704132235,77.40071326900345,Chunabhatti,Swiggy,64.19,Biryani,2026-01-05 13:25:47.404544,42,4.8
ORD00048,23.234216679361285,77.41039492376727,MP Nagar,Swiggy,658.4,North Indian,2026-01-26 02:25:47.404544,25,3.5
ORD00049,23.26263965534406,77.42789223685207,New Market,Swiggy,174.64,North Indian,2026-01-09 05:25:47.404544,43,3.9
ORD00050,23.23768279945878,77.42678758994283,MP Nagar,Zomato,384.09,South Indian,2026-01-05 18:25:47.404544,46,4.6
ORD00051,23.211093931108316,77.4507140623297,Arera Colony,Swiggy,110.87,North Indian,2026-01-27 01:25:47.404544,30,4.3
ORD00052,23.254388411679987,77.4119513445036,Jahangirabad,Zomato,234.19,Chinese,2026-01-05 18:25:47.404544,47,4.2
ORD00053,23.22284263790498,77.40915738382036,TT Nagar,Zomato,316.18,Chinese,2026-01-20 20:25:47.404544,35,4.3
ORD00054,23.244138442015245,77.42120093997877,Koh-e-Fiza,Zomato,738.43,North Indian,2026-01-19 15:25:47.404544,48,4.0
ORD00055,23.16264223636966,77.43902051505263,Raisen Road,Zomato,124.38,North Indian,2026-02-01 16:25:47.404544,25,4.2
ORD00056,23.202557017341903,77.4491520828697,Shahpura,Swiggy,76.7,Pizza,2026-01-30 02:25:47.404544,40,3.6
ORD00057,23.220513333600344,77.43646006168038,Arera Colony,Zomato,254.83,South Indian,2026-02-02 05:25:47.404544,26,4.5
ORD00058,23.26035247159671,77.41941121673902,New Market,Swiggy,104.57,Pizza,2026-01-19 02:25:47.404544,30,4.2
ORD00059,23.226649194037726,77.41272197032322,MP Nagar,Swiggy,283.78,Chinese,2026-01-13 21:25:47.404544,49,4.4
ORD00060,23.171899930660334,77.4119082070441,Bawadiya Kalan,Swiggy,222.64,Fast Food,2026-01-19 01:25:47.404544,34,3.9
ORD00061,23.216309420380252,77.47417533312377,Shahpura,Zomato,132.62,Pizza,2026-01-27 20:25:47.404544,54,3.9
ORD00062,23.222629263667585,77.4040779238267,MP Nagar,Swiggy,436.5,Burger,2026-01-08 05:25:47.404544,39,4.6
ORD00063,23.219607337500992,77.42257955804162,Arera Colony,Zomato,603.3,Beverages,2026-01-29 01:25:47.404544,28,4.1
ORD00064,23.226013894646137,77.47523104578445,Ayodhya Nagar,Zomato,162.65,Desserts,2026-01-30 01:25:47.404544,37,4.2
ORD00065,23.253016693077726,77.40952355564616,New Market,Zomato,155.13,North Indian,2026-01-26 21:25:47.404544,33,4.3
ORD00066,23.280987251470652,77.39473805449327,Berasia Road,Swiggy,76.31,Desserts,2026-01-21 02:25:47.404544,35,4.7
ORD00067,23.233392718299786,77.42285458211686,MP Nagar,Swiggy,394.07,Pizza,2026-01-25 11:25:47.404544,29,4.6
ORD00068,23.244470809013222,77.37123514758662,Chunabhatti,Swiggy,264.37,Biryani,2026-01-16 22:25:47.404544,43,4.3
ORD00069,23.231584396338295,77.4529638339415,Gulmohar Colony,Zomato,443.52,North Indian,2026-01-21 03:25:47.404544,30,3.9
